Monat,Name,Partei,Geschlecht,Funktion,Saldo,Veränderung,Parlaments_ID,Anmerkung
2026-01-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,18,-1,PAD_02856,
2026-01-01,Doris Bures,SPÖ,Frau,3. Nationalratspräsidentin ,16,-2,PAD_00145,
2026-01-01,Markus Marterbauer,SPÖ,Mann,Bundesminister für Finanzen,8,4,PAD_32506,
2026-01-01,Eva Maria Holzleitner,SPÖ,Frau,"Bundesministerin für Frauen, Wissenschaft und Forschung",2,1,PAD_02309,
2026-01-01,Christian Stocker,ÖVP,Mann,Bundeskanzler,-1,-1,PAD_05439,
2026-01-01,Ulrike Königsberger-Ludwig,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",-2,-4,PAD_14841,
2026-01-01,Anna Sporrer,SPÖ,Frau,Bundesministerin für Justiz,-3,-6,PAD_32507,
2026-01-01,Elisabeth Zehetner,ÖVP,Frau,"Staatssekretärin im Bundesministerium für Wirtschaft, Energie und Tourismus",-3,2,PAD_32510,
2026-01-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,"Bundesministerin für Europa, Integration und Familie im Bundeskanzleramt",-4,4,PAD_02295,
2026-01-01,Korinna Schumann,SPÖ,Frau,"Bundesministerin für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",-5,-6,PAD_03677,
2026-01-01,Peter Hanke,SPÖ,Mann,"Bundesminister für Innovation, Mobilität und Infrastruktur",-5,-3,PAD_32508,
2026-01-01,Peter Haubner,ÖVP,Mann,2. Nationalratspräsident,-5,-2,PAD_12741,
2026-01-01,Michaela Schmidt,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Wohnen, Kunst, Kultur, Medien und Sport",-5,-4,PAD_25188,
2026-01-01,Barbara Eibinger-Miedl,ÖVP,Frau,Staatssekretärin im Bundesministerium für Finanzen,-7,-4,PAD_35547,
2026-01-01,Christoph Wiederkehr,NEOS,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-8,-5,PAD_32505,
2026-01-01,Yannick Shetty,NEOS,Mann,Abgeordneter zum Nationalrat,-8,-4,PAD_05687,
2026-01-01,Philip Kucher,SPÖ,Mann,Klubobmann,-8,-2,PAD_83113,
2026-01-01,Klaudia Tanner,ÖVP,Frau,Bundesministerin für Landesverteidigung,-9,-1,PAD_06485,
2026-01-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-11,-3,PAD_20445,
2026-01-01,Wolfgang Hattmannsdorfer,ÖVP,Mann,"Bundesminister für Wirtschaft, Energie und Tourismus",-12,-5,PAD_30720,
2026-01-01,Beate Meinl-Reisinger,NEOS,Frau,Bundesministerin für europäische und internationale Angelegenheiten,-13,-7,PAD_83122,
2026-01-01,Jörg Leichtfried,SPÖ,Mann,Staatssekretär im Bundesministerium für Inneres,-15,-5,PAD_22694,
2026-01-01,Alexander Pröll,ÖVP,Mann,Staatssekretär im Bundeskanzleramt,-15,-6,PAD_32509,
2026-01-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Klima- und Umweltschutz, Regionen und Wasserwirtschaft",-19,-7,PAD_10778,
2026-01-01,Leonore Gewessler,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-23,1,PAD_05653,
2026-01-01,Walter Rosenkranz,FPÖ,Mann,Nationalratspräsident,-27,0,PAD_51570,
2026-01-01,Andreas Babler,SPÖ,Mann,Vizekanzler,-31,-8,PAD_23963,
2026-01-01,Josef Schellhorn,NEOS,Mann,Staatssekretär im Bundesministerium für europäische und internationale Angelegenheiten,-35,-15,PAD_84056,
2026-01-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-36,2,PAD_35520,
2026-01-01,August Wöginger,ÖVP,Mann,Klubobmann,-47,-16,PAD_14795,
2025-09-01,Alexander Pröll,ÖVP,Mann,Staatssekretär im Bundeskanzleramt,-9,-4,PAD_32509,
2025-09-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,19,-5,PAD_02856,
2025-09-01,Andreas Babler,SPÖ,Mann,Vizekanzler,-23,-4,PAD_23963,
2025-09-01,Anna Sporrer,SPÖ,Frau,Bundesministerin für Justiz,3,-3,PAD_32507,
2025-09-01,August Wöginger,ÖVP,Mann,Klubobmann,-31,-7,PAD_14795,
2025-09-01,Barbara Eibinger-Miedl,ÖVP,Frau,Staatssekretärin im Bundesministerium für Finanzen,-3,-4,PAD_35547,
2025-09-01,Beate Meinl-Reisinger,NEOS,Frau,Bundesministerin für europäische und internationale Angelegenheiten,-6,-10,PAD_83122,
2025-09-01,Christian Stocker,ÖVP,Mann,Bundeskanzler,0,-3,PAD_05439,
2025-09-01,Christoph Wiederkehr,NEOS,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-3,-11,PAD_32505,
2025-09-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,"Bundesministerin für Europa, Integration und Familie im Bundeskanzleramt",-8,4,PAD_02295,
2025-09-01,Doris Bures,SPÖ,Frau,3. Nationalratspräsidentin ,18,-1,PAD_00145,
2025-09-01,Elisabeth Zehetner,ÖVP,Frau,"Staatssekretärin im Bundesministerium für Wirtschaft, Energie und Tourismus",-5,-4,PAD_32510,
2025-09-01,Eva Maria Holzleitner,SPÖ,Frau,"Bundesministerin für Frauen, Wissenschaft und Forschung",1,-4,PAD_02309,
2025-09-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-8,3,PAD_20445,
2025-09-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-38,5,PAD_35520,
2025-09-01,Jörg Leichtfried,SPÖ,Mann,Staatssekretär im Bundesministerium für Inneres,-10,-6,PAD_22694,
2025-09-01,Josef Schellhorn,NEOS,Mann,Staatssekretär im Bundesministerium für europäische und internationale Angelegenheiten,-20,-25,PAD_84056,
2025-09-01,Klaudia Tanner,ÖVP,Frau,Bundesministerin für Landesverteidigung,-8,3,PAD_06485,
2025-09-01,Korinna Schumann,SPÖ,Frau,"Bundesministerin für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",1,-4,PAD_03677,
2025-09-01,Leonore Gewessler,Grüne,Frau,Klubobfrau,-24,2,PAD_05653,Veränderung berechnet anhand des zuletzt im August 2024 erhobenen Vertrauenswerts
2025-09-01,Markus Marterbauer,SPÖ,Mann,Bundesminister für Finanzen,4,-5,PAD_32506,
2025-09-01,Michaela Schmidt,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Wohnen, Kunst, Kultur, Medien und Sport",-1,-2,PAD_25188,
2025-09-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Klima- und Umweltschutz, Regionen und Wasserwirtschaft",-12,-7,PAD_10778,
2025-09-01,Peter Hanke,SPÖ,Mann,"Bundesminister für Innovation, Mobilität und Infrastruktur",-2,-4,PAD_32508,
2025-09-01,Peter Haubner,ÖVP,Mann,2. Nationalratspräsident,-3,0,PAD_12741,
2025-09-01,Philip Kucher,SPÖ,Mann,Klubobmann,-6,-3,PAD_83113,
2025-09-01,Ulrike Königsberger-Ludwig,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",2,0,PAD_14841,
2025-09-01,Walter Rosenkranz,FPÖ,Mann,Nationalratspräsident,-27,-6,PAD_51570,
2025-09-01,Wolfgang Hattmannsdorfer,ÖVP,Mann,"Bundesminister für Wirtschaft, Energie und Tourismus",-7,-11,PAD_30720,
2025-09-01,Yannick Shetty,NEOS,Mann,Abgeordneter zum Nationalrat,-4,-1,PAD_05687,
2025-04-01,Alexander Pröll,ÖVP,Mann,Staatssekretär im Bundeskanzleramt,-5,,PAD_32509,
2025-04-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,24,4,PAD_02856,
2025-04-01,Andreas Babler,SPÖ,Mann,Vizekanzler,-19,10,PAD_23963,
2025-04-01,Anna Sporrer,SPÖ,Frau,Bundesministerin für Justiz,6,,PAD_32507,
2025-04-01,August Wöginger ,ÖVP,Mann,Klubobmann,-24,4,PAD_14795,
2025-04-01,Barbara Eibinger-Miedl,ÖVP,Frau,Staatssekretärin im Bundesministerium für Finanzen,1,,PAD_35547,
2025-04-01,Beate Meinl-Reisinger ,NEOS,Frau,Bundesministerin für europäische und internationale Angelegenheiten,4,7,PAD_83122,
2025-04-01,Christian Stocker,ÖVP,Mann,Bundeskanzler,3,,PAD_05439,
2025-04-01,Christoph Wiederkehr,NEOS,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",8,,PAD_32505,
2025-04-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,"Bundesministerin für Europa, Integration und Familie im Bundeskanzleramt",-12,14,PAD_02295,
2025-04-01,Doris Bures ,SPÖ,Frau,3. Nationalratspräsidentin ,19,7,PAD_00145,
2025-04-01,Elisabeth Zehetner,ÖVP,Frau,"Staatssekretärin im Bundesministerium für Wirtschaft, Energie und Tourismus",-1,,PAD_32510,
2025-04-01,Eva Maria Holzleitner,SPÖ,Frau,"Bundesministerin für Frauen, Wissenschaft und Forschung",5,,PAD_02309,
2025-04-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-11,10,PAD_20445,
2025-04-01,Herbert Kickl ,FPÖ,Mann,Klubobmann,-43,-1,PAD_35520,
2025-04-01,Jörg Leichtfried,SPÖ,Mann,Staatssekretär im Bundesministerium für Inneres,-4,,PAD_22694,
2025-04-01,Josef Schellhorn,NEOS,Mann,Staatssekretär im Bundesministerium für europäische und internationale Angelegenheiten,5,,PAD_84056,
2025-04-01,Klaudia Tanner ,ÖVP,Frau,Bundesministerin für Landesverteidigung,-11,14,PAD_06485,
2025-04-01,Korinna Schumann,SPÖ,Frau,"Bundesministerin für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",5,,PAD_03677,
2025-04-01,Markus Marterbauer,SPÖ,Mann,Bundesminister für Finanzen,9,,PAD_32506,
2025-04-01,Michaela Schmidt,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Wohnen, Kunst, Kultur, Medien und Sport",1,,PAD_25188,
2025-04-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Klima- und Umweltschutz, Regionen und Wasserwirtschaft",-5,10,PAD_10778,
2025-04-01,Peter Hanke,SPÖ,Mann,"Bundesminister für Innovation, Mobilität und Infrastruktur",2,,PAD_32508,
2025-04-01,Peter Haubner,ÖVP,Mann,2. Nationalratspräsident,-3,,PAD_12741,
2025-04-01,Philip Kucher,SPÖ,Mann,Klubobmann,-3,,PAD_83113,
2025-04-01,Sigrid Maurer ,Grüne,Frau,Abgeordnete zum Nationalrat,-22,10,PAD_83101,
2025-04-01,Ulrike Königsberger-Ludwig,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",2,,PAD_14841,
2025-04-01,Walter Rosenkranz,FPÖ,Mann,Nationalratspräsident,-21,,PAD_51570,
2025-04-01,Werner Kogler ,Grüne,Mann,Klubobmann,-13,11,PAD_08242,
2025-04-01,Wolfgang Hattmannsdorfer,ÖVP,Mann,"Bundesminister für Wirtschaft, Energie und Tourismus",4,,PAD_30720,
2025-04-01,Yannick Shetty,NEOS,Mann,Abgeordneter zum Nationalrat,-3,,PAD_05687,
2024-08-01,Alexander Schallenberg,ÖVP,Mann,Bundesminister für europäische und internationale Angelegenheiten,-3,5,PAD_05430,
2024-08-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,20,-3,PAD_02856,
2024-08-01,Alma Zadić,Grüne,Frau,Bundesministerin für Justiz,1,1,PAD_02345,
2024-08-01,Andrea Mayer,Grüne,Frau,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",-3,0,PAD_07267,
2024-08-01,Andreas Babler,SPÖ,Mann,Bundesparteivorsitzender,-29,-6,PAD_23963,
2024-08-01,August Wöginger,ÖVP,Mann,Klubobmann,-28,0,PAD_14795,
2024-08-01,Beate Meinl-Reisinger,NEOS,Frau,Klubobfrau,-3,6,PAD_83122,
2024-08-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,Staatssekretärin im Bundeskanzleramt,-26,3,PAD_02295,
2024-08-01,Doris Bures,SPÖ,Frau,2. Nationalratspräsidentin ,12,2,PAD_00145,
2024-08-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-21,4,PAD_20445,
2024-08-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-42,5,PAD_35520,
2024-08-01,Johannes Rauch,Grüne,Mann,"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz",5,0,PAD_21029,
2024-08-01,Karl Nehammer,ÖVP,Mann,Bundeskanzler,-22,5,PAD_02136,
2024-08-01,Karoline Edtstadler,ÖVP,Frau,Bundesministerin für EU und Verfassung im Bundeskanzleramt,-25,6,PAD_02979,
2024-08-01,Klaudia Tanner,ÖVP,Frau,Bundesministerin für Landesverteidigung,-25,3,PAD_06485,
2024-08-01,Leonore Gewessler,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-26,-5,PAD_05653,
2024-08-01,Magnus Brunner,ÖVP,Mann,Bundesminister für Finanzen,3,6,PAD_55727,
2024-08-01,Martin Kocher,ÖVP,Mann,Bundesminister für Wirtschaft und Arbeit,13,10,PAD_18140,
2024-08-01,Martin Polaschek,ÖVP,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-30,4,PAD_20449,
2024-08-01,Norbert Hofer,FPÖ,Mann,3. Nationalratspräsident,-20,1,PAD_35521,
2024-08-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",-15,-1,PAD_10778,
2024-08-01,Sigrid Maurer,Grüne,Frau,Klubobfrau,-32,-3,PAD_83101,
2024-08-01,Susanne Kraus-Winkler,ÖVP,Frau,Staatssekretärin im Bundesministerium für Arbeit und Wirtschaft,-11,-1,PAD_21406,
2024-08-01,Susanne Raab,ÖVP,Frau,"Bundesministerin für Frauen, Familie, Integration und Medien im Bundeskanzleramt",-17,4,PAD_06486,
2024-08-01,Werner Kogler,Grüne,Mann,Vizekanzler,-24,0,PAD_08242,
2024-08-01,Wolfgang Sobotka,ÖVP,Mann,Nationalratspräsident,-50,5,PAD_88386,
2024-05-01,Alexander Schallenberg,ÖVP,Mann,Bundesminister für europäische und internationale Angelegenheiten,-8,2,PAD_05430,
2024-05-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,23,1,PAD_02856,
2024-05-01,Alma Zadić,Grüne,Frau,Bundesministerin für Justiz,0,-3,PAD_02345,
2024-05-01,Andrea Mayer,Grüne,Frau,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",-3,-1,PAD_07267,
2024-05-01,Andreas Babler,SPÖ,Mann,Bundesparteivorsitzender,-23,5,PAD_23963,
2024-05-01,Andreas Schieder,SPÖ,Mann,Spitzenkandidat EU-Wahl,-15,-2,PAD_35504,
2024-05-01,August Wöginger,ÖVP,Mann,Klubobmann,-28,3,PAD_14795,
2024-05-01,Beate Meinl-Reisinger,NEOS,Frau,Klubobfrau,-9,-3,PAD_83122,
2024-05-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,Staatssekretärin im Bundeskanzleramt,-29,-1,PAD_02295,
2024-05-01,Doris Bures,SPÖ,Frau,2. Nationalratspräsidentin ,10,2,PAD_00145,
2024-05-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-25,2,PAD_20445,
2024-05-01,Harald Vilimsky,FPÖ,Mann,Spitzenkandidat EU-Wahl,-40,-5,PAD_02708,
2024-05-01,Helmut Brandstätter,NEOS,Mann,Spitzenkandidat EU-Wahl,-10,-4,PAD_05682,
2024-05-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-47,-4,PAD_35520,
2024-05-01,Johannes Rauch,Grüne,Mann,"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz",5,-1,PAD_21029,
2024-05-01,Karl Nehammer,ÖVP,Mann,Bundeskanzler,-27,2,PAD_02136,
2024-05-01,Karoline Edtstadler,ÖVP,Frau,Bundesministerin für EU und Verfassung im Bundeskanzleramt,-31,-10,PAD_02979,
2024-05-01,Klaudia Tanner,ÖVP,Frau,Bundesministerin für Landesverteidigung,-28,1,PAD_06485,
2024-05-01,Lena Schilling,Grüne,Frau,Spitzenkandidatin EU-Wahl,-50,-33,,
2024-05-01,Leonore Gewessler,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-21,-1,PAD_05653,
2024-05-01,Magnus Brunner,ÖVP,Mann,Bundesminister für Finanzen,-3,-1,PAD_55727,
2024-05-01,Martin Kocher,ÖVP,Mann,Bundesminister für Wirtschaft und Arbeit,3,-3,PAD_18140,
2024-05-01,Martin Polaschek,ÖVP,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-34,-5,PAD_20449,
2024-05-01,Norbert Hofer,FPÖ,Mann,3. Nationalratspräsident,-21,-3,PAD_35521,
2024-05-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",-14,0,PAD_10778,
2024-05-01,Reinhold Lopatka,ÖVP,Mann,Spitzenkandidat EU-Wahl,-15,-3,PAD_15526,
2024-05-01,Sigrid Maurer,Grüne,Frau,Klubobfrau,-29,-4,PAD_83101,
2024-05-01,Susanne Kraus-Winkler,ÖVP,Frau,Staatssekretärin im Bundesministerium für Arbeit und Wirtschaft,-10,-2,PAD_21406,
2024-05-01,Susanne Raab,ÖVP,Frau,"Bundesministerin für Frauen, Familie, Integration und Medien im Bundeskanzleramt",-21,-1,PAD_06486,
2024-05-01,Werner Kogler,Grüne,Mann,Vizekanzler,-24,-6,PAD_08242,
2024-05-01,Wolfgang Sobotka,ÖVP,Mann,Nationalratspräsident,-55,6,PAD_88386,
2024-02-01,Alexander Schallenberg ,ÖVP,Mann,Bundesminister für europäische und internationale Angelegenheiten,-10,6,PAD_05430,
2024-02-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,22,5,PAD_02856,
2024-02-01,Alma Zadić ,Grüne,Frau,Bundesministerin für Justiz,3,2,PAD_02345,
2024-02-01,Andrea Mayer ,Grüne,Frau,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",-2,0,PAD_07267,
2024-02-01,Andreas Babler,SPÖ,Mann,Bundesparteivorsitzender,-28,-5,PAD_23963,
2024-02-01,Andreas Schieder,SPÖ,Mann,Spitzenkandidat EU-Wahl,-13,*,PAD_35504,
2024-02-01,August Wöginger ,ÖVP,Mann,Klubobmann,-31,2,PAD_14795,
2024-02-01,Beate Meinl-Reisinger ,NEOS,Frau,Klubobfrau,-6,-2,PAD_83122,
2024-02-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,Staatssekretärin im Bundeskanzleramt,-28,0,PAD_02295,
2024-02-01,Doris Bures ,SPÖ,Frau,2. Nationalratspräsidentin ,8,4,PAD_00145,
2024-02-01,Florian Tursky,ÖVP,Mann,Staatssekretär im Bundesministerium für Finanzen,-11,2,PAD_21407,
2024-02-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-27,2,PAD_20445,
2024-02-01,Harald Vilimsky,FPÖ,Mann,Spitzenkandidat EU-Wahl,-35,*,PAD_02708,
2024-02-01,Helmut Brandstätter,NEOS,Mann,Spitzenkandidat EU-Wahl,-6,*,PAD_05682,
2024-02-01,Herbert Kickl ,FPÖ,Mann,Klubobmann,-43,-2,PAD_35520,
2024-02-01,Johannes Rauch,Grüne,Mann,"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz",6,1,PAD_21029,
2024-02-01,Karl Nehammer ,ÖVP,Mann,Bundeskanzler,-29,3,PAD_02136,
2024-02-01,Karoline Edtstadler ,ÖVP,Frau,Bundesministerin für EU und Verfassung im Bundeskanzleramt,-21,3,PAD_02979,
2024-02-01,Klaudia Tanner ,ÖVP,Frau,Bundesministerin für Landesverteidigung,-29,3,PAD_06485,
2024-02-01,Lena Schilling,Grüne,Frau,Spitzenkandidatin EU-Wahl,-17,*,,
2024-02-01,Leonore Gewessler ,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-20,1,PAD_05653,
2024-02-01,Magnus Brunner ,ÖVP,Mann,Bundesminister für Finanzen,-2,4,PAD_55727,
2024-02-01,Martin Kocher ,ÖVP,Mann,Bundesminister für Wirtschaft und Arbeit,6,2,PAD_18140,
2024-02-01,Martin Polaschek,ÖVP,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-29,2,PAD_20449,
2024-02-01,Norbert Hofer ,FPÖ,Mann,3. Nationalratspräsident,-18,2,PAD_35521,
2024-02-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",-14,-5,PAD_10778,
2024-02-01,Reinhold Lopatka,ÖVP,Mann,Spitzenkandidat EU-Wahl,-12,*,PAD_15526,
2024-02-01,Sigrid Maurer ,Grüne,Frau,Klubobfrau,-25,3,PAD_83101,
2024-02-01,Susanne Kraus-Winkler,ÖVP,Frau,Staatssekretärin im Bundesministerium für Arbeit und Wirtschaft,-8,0,PAD_21406,
2024-02-01,Susanne Raab ,ÖVP,Frau,"Bundesministerin für Frauen, Familie, Integration und Medien im Bundeskanzleramt",-20,2,PAD_06486,
2024-02-01,Werner Kogler ,Grüne,Mann,Vizekanzler,-18,1,PAD_08242,
2024-02-01,Wolfgang Sobotka ,ÖVP,Mann,Nationalratspräsident,-61,5,PAD_88386,
2023-12-01,Alexander Schallenberg,ÖVP,Mann,Bundesminister für europäische und internationale Angelegenheiten,-16,1,PAD_05430,
2023-12-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,17,-3,PAD_02856,
2023-12-01,Alma Zadić,Grüne,Frau,Bundesministerin für Justiz,1,-2,PAD_02345,
2023-12-01,Andrea Mayer,Grüne,Frau,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",-2,1,PAD_07267,
2023-12-01,Andreas Babler,SPÖ,Mann,Bundesparteivorsitzender,-23,-5,PAD_23963,
2023-12-01,August Wöginger,ÖVP,Mann,Klubobmann,-33,-3,PAD_14795,
2023-12-01,Beate Meinl-Reisinger,NEOS,Frau,Klubobfrau,-4,-1,PAD_83122,
2023-12-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,Staatssekretärin im Bundeskanzleramt,-28,1,PAD_02295,
2023-12-01,Doris Bures,SPÖ,Frau,2. Nationalratspräsidentin ,4,0,PAD_00145,
2023-12-01,Florian Tursky,ÖVP,Mann,Staatssekretär im Bundesministerium für Finanzen,-13,-5,PAD_21407,
2023-12-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-29,-1,PAD_20445,
2023-12-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-41,4,PAD_35520,
2023-12-01,Johannes Rauch,Grüne,Mann,"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz",5,2,PAD_21029,
2023-12-01,Karl Nehammer,ÖVP,Mann,Bundeskanzler,-32,-12,PAD_02136,
2023-12-01,Karoline Edtstadler,ÖVP,Frau,Bundesministerin für EU und Verfassung im Bundeskanzleramt,-24,-3,PAD_02979,
2023-12-01,Klaudia Tanner,ÖVP,Frau,Bundesministerin für Landesverteidigung,-32,-3,PAD_06485,
2023-12-01,Leonore Gewessler,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-21,3,PAD_05653,
2023-12-01,Magnus Brunner,ÖVP,Mann,Bundesminister für Finanzen,-6,-5,PAD_55727,
2023-12-01,Martin Kocher,ÖVP,Mann,Bundesminister für Wirtschaft und Arbeit,4,2,PAD_18140,
2023-12-01,Martin Polaschek,ÖVP,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-31,0,PAD_20449,
2023-12-01,Norbert Hofer,FPÖ,Mann,3. Nationalratspräsident,-20,-4,PAD_35521,
2023-12-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",-9,1,PAD_10778,
2023-12-01,Sigrid Maurer,Grüne,Frau,Klubobfrau,-28,-1,PAD_83101,
2023-12-01,Susanne Kraus-Winkler,ÖVP,Frau,Staatssekretärin im Bundesministerium für Arbeit und Wirtschaft,-8,2,PAD_21406,
2023-12-01,Susanne Raab,ÖVP,Frau,"Bundesministerin für Frauen, Familie, Integration und Medien im Bundeskanzleramt",-22,3,PAD_06486,
2023-12-01,Werner Kogler,Grüne,Mann,Vizekanzler,-19,-1,PAD_08242,
2023-12-01,Wolfgang Sobotka,ÖVP,Mann,Nationalratspräsident,-66,-13,PAD_88386,
2023-09-01,Alexander Schallenberg,ÖVP,Mann,Bundesminister für europäische und internationale Angelegenheiten,-17,-1,PAD_05430,
2023-09-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,20,-2,PAD_02856,
2023-09-01,Alma Zadić ,Grüne,Frau,Bundesministerin für Justiz,3,-4,PAD_02345,
2023-09-01,Andrea Mayer ,Grüne,Frau,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport",-3,-2,PAD_07267,
2023-09-01,Andreas Babler,SPÖ,Mann,Bundesparteivorsitzender,-18,-4,PAD_23963,
2023-09-01,August Wöginger,ÖVP,Mann,Klubobmann,-30,-1,PAD_14795,
2023-09-01,Beate Meinl-Reisinger,NEOS,Frau,Klubobfrau,-3,0,PAD_83122,
2023-09-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,Staatssekretärin im Bundeskanzleramt,-29,-3,PAD_02295,
2023-09-01,Doris Bures,SPÖ,Frau,2. Nationalratspräsidentin ,4,0,PAD_00145,
2023-09-01,Florian Tursky,ÖVP,Mann,Staatssekretär im Bundesministerium für Finanzen,-8,-1,PAD_21407,
2023-09-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-28,-1,PAD_20445,
2023-09-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-45,-2,PAD_35520,
2023-09-01,Johannes Rauch,Grüne,Mann,"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz",3,7,PAD_21029,
2023-09-01,Karl Nehammer ,ÖVP,Mann,Bundeskanzler,-20,2,PAD_02136,
2023-09-01,Karoline Edtstadler ,ÖVP,Frau,Bundesministerin für EU und Verfassung im Bundeskanzleramt,-21,2,PAD_02979,
2023-09-01,Klaudia Tanner ,ÖVP,Frau,Bundesministerin für Landesverteidigung,-29,3,PAD_06485,
2023-09-01,Leonore Gewessler ,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-24,0,PAD_05653,
2023-09-01,Magnus Brunner ,ÖVP,Mann,Bundesminister für Finanzen,-1,6,PAD_55727,
2023-09-01,Martin Kocher ,ÖVP,Mann,Bundesminister für Wirtschaft und Arbeit,2,5,PAD_18140,
2023-09-01,Martin Polaschek,ÖVP,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-31,-8,PAD_20449,
2023-09-01,Norbert Hofer,FPÖ,Mann,3. Nationalratspräsident,-16,1,PAD_35521,
2023-09-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft",-10,0,PAD_10778,
2023-09-01,Sigrid Maurer ,Grüne,Frau,Klubobfrau,-27,-1,PAD_83101,
